Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,reviewer_nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,review
Vondelstraat 18 30 Oud West 1054 GE Amsterdam Netherlands,248,12/22/2015,8.0,Hotel Vondel Amsterdam, Ireland ,4,1952,0,1,9.2,"[' Leisure trip ', ' Group ', ' Souterraine Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",590 day,52.3625662,4.8779225, Very poor Wifi No Positive
30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,807,7/13/2016,8.5,DoubleTree by Hilton London Westminster, United Kingdom ,30,3269,15,2,9.2,"[' Leisure trip ', ' Family with older children ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",386 day,51.4932356,-0.1269082, Would of liked more tea coffee facilities in the room Only enough for one cup of tea on arrival Although coffee available which we used in the morning   Welcoming staff very comfortable outstanding cleanliness great comfy beds brilliant choice of breakfast 
Bergara 11 Eixample 08002 Barcelona Spain,434,5/24/2016,8.6,Catalonia Plaza Catalunya, United States of America ,0,4153,73,1,10.0,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",436 day,41.3865289,2.1682919,No Negative  Everything was amazing The staff were very helpful with giving suggestions and directions around the town The room was clean new and very comfortable The staff surprised us with a lovely tray of fruits and champagne for our anniversary Location was perfect walking distance to air bus metro shops and tons of tapas It was just around from las rambas gothic quarter and a short walk to the beach Loved everything 
Schubertring 11 01 Innere Stadt 1010 Vienna Austria,127,10/12/2016,8.2,Hotel Am Schubertring, Netherlands ,32,1259,0,55,7.1,"[' Leisure trip ', ' Family with young children ', ' Superior Room ', ' Stayed 3 nights ']",295 day,48.2017277,16.375463, There were some issues with the pipes The bathroom had no water for a long time and eahc 10minutes the staff were saying it will be fixed in 10 minutes  No Positive
Wibautstraat 129 Oost 1091 GL Amsterdam Netherlands,975,10/26/2016,8.7,The Student Hotel Amsterdam City, Saudi Arabia ,4,7656,13,7,9.2,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",281 day,52.3546649,4.9131641, No mini fridge  Checked in a bit early and the rest was great as always
20 Rue Jean Rey 15th arr 75015 Paris France,333,10/21/2016,8.0,Mercure Paris Centre Tour Eiffel, Norway ,5,2611,4,5,9.2,"[' Leisure trip ', ' Couple ', ' Privilege Room with Double Bed and Single Sofa Bed ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",286 day,48.8548641,2.2923181, Cleanliness in wc room  Location is brilliant
104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,466,7/5/2016,8.2,Thistle Kensington Gardens, Australia ,11,2134,9,3,6.7,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",394 day,51.5108439,-0.1839074, Rooms are quite small for two people No gym   It was very clean and generally comfortable 
Pintor Fortuny 13 Ciutat Vella 08001 Barcelona Spain,184,11/2/2016,7.9,Silken Ramblas, Saudi Arabia ,18,1949,3,11,7.5,"[' Leisure trip ', ' Group ', ' Comfort Double or Twin Room with Extra Bed ', ' Stayed 1 night ']",274 day,41.3830117,2.1700699, check in time very long reception stuff very tuff and they don t have good hospitality   Location 
Westside Wimbledon Common Wimbledon London SW19 4UE United Kingdom,153,5/28/2016,8.4,Hotel du Vin Cannizaro House Wimbledon, United Kingdom ,0,476,14,7,9.6,"[' Business trip ', ' Couple ', ' Standard Double Room with Park View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",432 day,51.4242413,-0.2293503,No Negative  The beds are amazingly comfy and the location is beautiful and quite 
33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,989,3/22/2016,8.4,Park Grand London Kensington, Hungary ,5,4660,5,23,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",499 day,51.4938468,-0.1917582, Size of the room  Attentive staff Good value
6 Hercules Road Lambeth London SE1 7DP United Kingdom,323,6/27/2017,8.8,Park Plaza London Waterloo, United Kingdom ,11,1489,14,4,8.3,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",37 days,51.4982412,-0.1134715, The shower drainage was blocked and flooded the bathroom   Peacefulness of the rooms Good lighting in the rooms Upgrade was offered 
Pelai 28 Ciutat Vella 08002 Barcelona Spain,532,12/22/2015,8.6,Catalonia Ramblas 4 Sup, Indonesia ,121,4276,13,10,7.9,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 3 nights ']",590 day,41.3856387,2.1668274, The extra bed pull out sofa bed was very uncomfortable to sleep on I was surprised to see that we did not get what we had booked for which was 1 double bed and 1 single bed We instead got twin beds pushed together and a sofa cum bed The sofa bed was not actually a bed It was actually a very thin fold able mattress that gave me lower back pain after one nights sleep on it The three of us my parents and i ended up sleeping on the double bed which was luckily spacious enough for us three towards the end of our stay Would not recommend anyone above 20 to sleep on the extra bed   Location of the hotel was fantastic Staff were helpful and friendly 
Ramon Turr 196 198 Sant Mart 08005 Barcelona Spain,396,4/21/2016,7.9,Ilunion Barcelona, United States of America ,4,3944,54,1,7.9,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",469 day,41.3989322,2.2024183, Quiet secure   No entry ir exit poter service and you struggle with your bags No airport transfer service ir assistance No information desk This is quite unwelcoming Polite and proffessional support staff though Slightly overpriced TV channels too narrow Breakfast narrow non continental menu No bar service or wasnt made aware of its avaikability 
K rntner Stra e 32 34 01 Innere Stadt 1010 Vienna Austria,228,11/24/2015,8.5,Austria Trend Hotel Astoria Wien, United Kingdom ,10,2279,7,9,7.1,"[' Business trip ', ' Group ', ' Classic Single Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",618 day,48.2044655,16.3702399, very small room not worthy of the price   excellent location room is clean 
Holland Park Avenue Kensington and Chelsea London W11 4UL United Kingdom,843,3/1/2016,7.8,Hilton London Kensington Hotel, United Kingdom ,33,3801,26,2,8.3,"[' Leisure trip ', ' Couple ', ' Double Hilton Guestroom ', ' Stayed 1 night ', ' Submitted from a mobile device ']",520 day,51.5051084,-0.213266, On the evening when having a drink they told us to take a seat little did we know we get charged table service it also took a while to get served   The staff were really welcoming on arrival and more than happy to take our case from us It was a great stay for our anniversary
19 21 Gt Marlborough St Westminster Borough London W1F 7HL United Kingdom,355,5/3/2017,8.0,Courthouse Hotel London, Russia ,88,1786,0,2,5.0,"[' Business trip ', ' Couple ', ' King Magistrate Suite ', ' Stayed 3 nights ']",92 days,51.5143624,-0.1394483, When we arrived with booking a month in advance the Reception told us that rooms were not available and proposed to take a penthouse We refused and asked to book us another hotel The Reception found two Magistrate rooms one of them being much smaller than advertised but costing the same Dispute with Reception probably cost me 3 nights of bad sleep as second set of windows were opened and noise from the street was really loud I didn t notice because of drapes and shades  No Positive
1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,639,9/23/2016,9.2,Apex Temple Court Hotel, United Kingdom ,0,2619,39,1,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with Club Lounge Access ', ' Stayed 3 nights ']",314 day,51.5137335,-0.1087512,No Negative  Our room was lovely and modern with everything you could need The Club Lounge was a lovely peaceful space to have breakfast in and then later relax in and have a refreshment after a busy day sightseeing 
239 Vauxhall Bridge Road Westminster Borough London SW1V 1EQ United Kingdom,954,4/28/2017,8.6,Park Plaza Victoria London, Iceland ,0,4426,7,1,10.0,"[' Business trip ', ' Group ', ' Superior Twin Room ', ' Stayed 3 nights ']",97 days,51.4942539,-0.1414756,No Negative  The bed was extra comfy 
Stadhouderskade 25 Oud Zuid 1071 ZD Amsterdam Netherlands,297,3/15/2017,8.3,Park Hotel, United States of America ,11,2027,9,3,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",141 day,52.3613814,4.8832594, Shower leaked through the door and wet the floor   Great bed and staff Short walk to museums
35 39 St Georges Drive Westminster Borough London SW1V 4DG United Kingdom,120,6/5/2016,8.4,Georgian House Hotel, United Kingdom ,24,918,49,1,9.6,"[' Leisure trip ', ' Family with young children ', ' Standard Double Twin Room ', ' Stayed 2 nights ']",424 day,51.490724,-0.143868, The stairs were difficult for me as I have some health issues This I should have said when I made the booking   Continental breakfast good choice we did pay the extra for full English Our room very clean decor restful excellent staff Ideal location for the theatre sight seeing This was my daughter mine first visit to London I know we would stay here again on our next visit 
61 Quai De Grenelle 15th arr 75015 Paris France,342,4/16/2016,7.6,Novotel Paris Centre Tour Eiffel, United States of America ,36,2310,93,11,9.6,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 2 nights ']",474 day,48.8500283,2.2834126, Nothing major the sheets and blanket for the pull out bed were not already in the room so we had to call housekeeping to bring us some They did bring it within 15 minutes   This hotel is in a great location right across the Seine Eiffel 15 min walk Louvre 40 min walk Their breakfast buffet is great Cafe Novotel is pretty good as well A lot of restaurants in the immediate area There s a big mall complex just around the corner as well You can walk along the Seine promenade to get to the Eiffel and the museums A little far from Moulin Rouge but they have taxis in the front of the hotel so it was easy peasy Paid parking in hotel 
80 86 Belgrave Road Westminster Borough London SW1V 2BJ United Kingdom,391,6/21/2016,8.6,The Belgrave Hotel, United Kingdom ,15,2685,59,5,10.0,"[' Leisure trip ', ' Couple ', ' Luxury Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",408 day,51.4901051,-0.1381355, everything was amazing apart from no hotel restaurant But what a fabulous spot   It was just far enough away from the hustle and bustle of Vitoria but close enough that you re never to far from the real London streets The hotel does not do food but with French restaurant Grumbles is just round the corner and take my word for it the food and wine is to die for 
Via Fabio Filzi 3 Central Station 20124 Milan Italy,141,7/7/2017,8.3,Hotel Marconi, United States of America ,4,1806,76,2,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",27 days,45.4868744,9.2018407, Short stay   The breakfast was amazing with eggs ham yogurt pastries and fruit There was anything you would want to eat The nearby restaurants and hotel were well managed The hotel representatives were helpful when recommending places to go They all has a good sense of humor I would recommend this hotel for the location to public transportation It is located off on a side road which is less traveled for a quiet place to stay 
218 220 rue du Faubourg St Honor 8th arr 75008 Paris France,115,9/18/2015,7.3,Royal Garden Champs Elysees, Brazil ,6,1125,18,4,6.7,"[' Leisure trip ', ' Group ', ' One Bedroom Apartment ', ' Stayed 3 nights ']",685 day,48.8757155,2.3038781, Wifi does not work   Good location Near Champs Elysees and Arc de Triomphe Near the subway station Room was clean 
2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,9/6/2016,9.3,Hilton London Bankside, Saudi Arabia ,16,2319,5,5,5.0,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",331 day,51.5056956,-0.101525, I didn t like the way of cleaning the room was a bit unprofessional   I like the location
Kleine Stadtgutgasse 4 02 Leopoldstadt 1020 Vienna Austria,122,12/24/2016,8.8,Der Wilhelmshof, Slovenia ,18,1793,5,6,8.8,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 1 night ']",222 day,48.2185837,16.3881339, the air in the room was too hot and heating was not possible to be regulated   Breakfast was mervellous 
10 Place De La R publique 11th arr 75011 Paris France,141,9/19/2015,8.0,Crowne Plaza Paris R publique, United States of America ,6,1053,4,8,6.7,"[' Business trip ', ' Group ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",684 day,48.8673199,2.3656296, Need flippers for the room  Location and staff
1 Kings Cross Road Islington London WC1X 9HX United Kingdom,628,12/7/2016,8.1,Crowne Plaza London Kings Cross, Australia ,110,2312,39,30,8.3,"[' Leisure trip ', ' Couple ', ' Standard Room ', ' Stayed 4 nights ']",239 day,51.5263854,-0.1136042, No where to put 1 let alone 2 suitcases except floor or lounge Housekeeping was a bit hit and miss Cups and glasses not always cleaned replaced and carpet not vacuumed once in 4 days The restaurant was terrible We were made to feel belittled because we didn t have a booking webpage just says come and join us no mention of need to book when we could see spare tables For what we received the food was overpriced Small portions and my salmon Caesar salad was just a hot piece of salmon dumped onto lettuce with the barest hint of dressing croutons or parmesan cheese quite tasteless   Beautiful newly renovated room Bed was bliss Bathroom was great with rainhead shower and nice toiletries Quiet room with blackout curtains Loved the desk which has power points and USB connections Reception staff were very welcoming and helpful
Weteringschans 251 Amsterdam City Center 1017 XJ Amsterdam Netherlands,19,6/18/2016,8.3,Amsterdam Canal Residence, Canada ,13,255,12,7,8.8,"[' Leisure trip ', ' Group ', ' Small Deluxe Room with Canal View ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",411 day,52.3594783,4.895853, Not being able to take drinks or coffee out on the patio  Beds were comfy staff great view over canal amazing Breakfast amazing
La Rambla 22 24 Ciutat Vella 08002 Barcelona Spain,223,4/11/2016,8.2,Eurostars Ramblas, United Kingdom ,7,1878,15,2,10.0,"[' Leisure trip ', ' Family with older children ', ' Double or Twin Room ', ' Stayed 3 nights ']",479 day,41.3780983,2.1762005, loo brush cleaner in the toilets  everything suited us the place was clean and the staff really helpfull and friendly
58 Shepherds Bush Green Hammersmith and Fulham London W12 8QE United Kingdom,690,7/31/2016,8.6,Dorsett Shepherds Bush, United Kingdom ,12,2890,12,1,8.8,"[' Business trip ', ' Solo traveler ', ' Dorsett Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",368 day,51.5039399,-0.2244232, It would be nice to have bottled water in the room  Staff were very helpful and friendly Rooms were decorated beautifully 
5 Curzon St Westminster Borough London W1J 5HL United Kingdom,431,12/21/2016,7.9,Washington Mayfair Hotel, Canada ,68,1532,51,13,7.1,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ']",225 day,51.5060237,-0.151078, Decor overall is looking worn and in need of a re do Check in check out were slow with not enough staff on the desk to get people on their way My one complaint is that the bed was pretty awful and same with the pillows like two poly filled slabs Glad it was just one night or I would have been pretty stiff and sore   The location was great walking distance to Buckingham Palace Hard Rock Cafe Harrod s etc The staff seemed to be friendly and accomodating Although small my room was clean and the Sky TV was great I had everything I needed for a place to stay over a busy weekend 
